customer_key,customer_number,customer_name,age,customer_segment,last_order_date,recency,total_orders,total_sales,Avg_order_value,Avg_monthly_spends,total_quantity,total_products,lifespan
1,AW00011000,Jon Yang,55,VIP,2013-05-03,155,3,8249,2749,2749,8,8,28
2,AW00011001,Eugene Huang,50,VIP,2013-12-10,148,3,6384,2128,2128,11,10,35
3,AW00011002,Ruben Torres,55,VIP,2013-02-23,158,3,8114,2704,2704,4,4,25
4,AW00011003,Christy Zhu,53,VIP,2013-05-10,155,3,8139,2713,2713,9,9,29
5,AW00011004,Elizabeth Johnson,47,VIP,2013-05-01,155,3,8196,2732,2732,6,6,28
6,AW00011005,Julio Ruiz,50,VIP,2013-05-02,155,3,8121,2707,2707,6,6,29
7,AW00011006,Janet Alvarez,50,VIP,2013-05-14,155,3,8119,2706,2706,5,5,28
8,AW00011007,Marco Mehta,57,VIP,2013-03-19,157,3,8211,2737,2737,8,8,26
9,AW00011008,Rob Verhoff,51,VIP,2013-03-02,157,3,8106,2702,2702,7,7,26
10,AW00011009,Shannon Carlson,57,VIP,2013-05-09,155,3,8091,2697,2697,5,5,28
11,AW00011010,Jacquelyn Suarez,57,VIP,2013-05-23,155,3,8088,2696,2696,4,4,28
12,AW00011011,Curtis Lu,57,VIP,2013-03-19,157,3,8133,2711,2711,4,4,27
13,AW00011012,Lauren Walker,47,NEW,2013-10-15,150,2,81,40,40,5,5,7
14,AW00011013,Ian Jenkins,47,NEW,2014-01-21,147,2,114,57,57,5,5,9
15,AW00011014,Sydney Bennett,53,NEW,2013-04-30,156,2,138,69,69,6,5,1
16,AW00011015,Chloe Young,42,NEW,2013-01-18,159,1,2501,2501,2501,3,3,0
17,AW00011016,Wyatt Hill,42,NEW,2013-02-09,158,1,2332,2332,2332,3,3,0
18,AW00011017,Shannon Wang,77,VIP,2013-10-14,150,3,6434,2144,2144,4,4,33
19,AW00011018,Clarence Rai,71,VIP,2013-10-24,150,3,6533,2177,2177,7,7,33
20,AW00011019,Luke Lal,43,NEW,2014-01-12,147,17,880,51,51,33,20,11
21,AW00011020,Jordan King,42,NEW,2012-12-29,160,1,2317,2317,2317,2,2,0
22,AW00011021,Destiny Wilson,42,NEW,2013-01-23,159,1,2372,2372,2372,3,3,0
23,AW00011022,Ethan Zhang,42,NEW,2013-01-20,159,1,2322,2322,2322,2,2,0
24,AW00011023,Seth Edwards,42,NEW,2014-01-14,147,2,122,61,61,6,6,11
25,AW00011024,Russell Xie,42,NEW,2013-07-26,153,2,56,28,28,6,5,1
26,AW00011025,Alejandro Beck,75,VIP,2013-10-25,150,3,6577,2192,2192,6,6,33
27,AW00011026,Harold Sai,75,VIP,2013-10-15,150,3,6575,2191,2191,7,7,33
28,AW00011027,Jessie Zhao,74,VIP,2013-10-24,150,3,6591,2197,2197,9,9,33
29,AW00011028,Jill Jimenez,75,VIP,2013-10-07,150,3,6474,2158,2158,5,5,33
30,AW00011029,Jimmy Moreno,74,VIP,2013-11-11,149,3,6565,2188,2188,7,7,34
31,AW00011030,Bethany Yuan,68,VIP,2013-11-09,149,3,6471,2157,2157,4,4,33
32,AW00011031,Theresa Ramos,73,VIP,2013-11-13,149,3,6478,2159,2159,6,6,33
33,AW00011032,Denise Stone,74,VIP,2013-11-08,149,3,6525,2175,2175,10,10,33
34,AW00011033,Jaime Nath,68,VIP,2013-11-05,149,3,6495,2165,2165,7,7,33
35,AW00011034,Ebony Gonzalez,74,VIP,2013-11-10,149,3,6491,2163,2163,4,4,33
